CUSTOMER_ID,CITY,PROVINCE,COUNTRY,POSTCODE,LATITUDE,LONGITUDE,GENDER,DOB
856,York,ON,Canada,M6C3G5,43.695471,-79.428684,M,1930-09-23
859,Brampton,ON,Canada,L7A1P2,43.67991,-79.821535,M,1942-11-10
885,Etobicoke,ON,Canada,M9P2P2,43.699526,-79.540524,M,1919-09-06
1182,Toronto,ON,Canada,M5B1H9,43.661448,-79.378027,M,1941-08-14
1857,Etobicoke,ON,Canada,M9A4R2,43.67722,-79.523,M,1923-06-22
2599,Toronto,ON,Canada,M4M2P7,43.656293,-79.339359,M,1966-05-28
2842,Mississauga,ON,Canada,L5W1L6,43.633781,-79.727402,F,1924-06-19
2886,MARKHAM,ON,Canada,L3P2Y5,43.884573,-79.244467,F,1979-01-11
3168,Scarborough,ON,Canada,M1E1H8,43.741105,-79.200693,M,1968-04-27
3203,Scarborough,ON,Canada,M1T1L9,43.771171,-79.311339,M,1929-04-20
3510,Scarborough,ON,Canada,M1K1X6,43.711968,-79.264138,M,1942-03-08
4120,York,ON,Canada,M6C3B8,43.695986,-79.426052,M,1977-01-24
4373,Toronto,ON,Canada,M4L2C9,43.69447,-79.26902,M,1960-09-02
4449,YORK,ON,Canada,M6E2H7,43.695778,-79.449863,F,1959-03-16
4776,Toronto,ON,Canada,M6N3J5,43.676425,-79.459933,M,1921-08-13
4790,YORK,ON,Canada,M6S4M1,43.664796,-79.497067,F,1928-08-20
5111,Toronto,ON,Canada,M6J3H4,43.650462,-79.427127,M,1924-02-22
5594,Scarborough,ON,Canada,M1B2E3,43.805338,-79.172217,F,1911-01-09
5958,TORONTO,ON,Canada,M5B1C9,43.656453,-79.377306,F,1919-12-25
6307,Brampton,ON,Canada,L6S6K1,43.637761,-79.820708,F,1949-10-25
7516,YORK,ON,Canada,M6M1E6,43.685787,-79.46394,M,1965-07-07
7710,Brampton,ON,Canada,L6Y3X4,43.649901,-79.744396,M,1970-08-23
7900,GEORGETOWN,ON,Canada,L7G1C4,43.646879,-79.886342,F,1961-03-19
8257,OAKVILLE,ON,Canada,L6H6E4,43.491007,-79.685519,M,1974-03-05
8519,TORONTO,ON,Canada,M5W2Z5,43.646637,-79.376055,M,1929-09-25
8549,Toronto,ON,Canada,M4L1B7,43.665884,-79.30366,F,1979-03-26
8709,TORONTO,ON,Canada,M4Y1T1,43.668549,-79.385765,M,1942-02-26
9262,Brampton,ON,Canada,L6V2P9,43.69808586,-79.76631514,M,1973-01-22
9278,Etobicoke,ON,Canada,M8W2R3,43.610257,-79.539324,F,1940-07-16
9354,TORONTO,ON,Canada,M5H3H3,43.650836,-79.387193,F,1926-06-13
9984,Milton,ON,Canada,L9T5M8,43.530756,-79.839027,M,1926-02-06
10045,Mississauga,ON,Canada,L4Y2W2,43.613109,-79.609022,M,1966-02-06
10344,Toronto,ON,Canada,M4E3R5,43.683463,-79.286199,,1974-06-23
11608,North York,ON,Canada,M4N2E7,43.735544,-79.403474,,1943-05-27
11739,North York,ON,Canada,M2L2T7,43.764159,-79.364933,,1993-08-15
12141,BRAMPTON,ON,Canada,L6X0M8,43.665201,-79.805146,,1986-05-19
12385,Brampton,ON,Canada,L6Y1H7,43.67662,-79.76245,,1975-06-19
13765,Scarborough,ON,Canada,M1S2P8,43.803509,-79.279535,,1989-05-19
13920,Toronto,ON,Canada,M5H4E7,43.648854,-79.385598,,1992-01-04
14209,Mississauga,ON,Canada,L5M7C4,43.540425,-79.724709,,1964-09-12
15070,Toronto,ON,Canada,M6K1K6,43.639896,-79.431367,,1991-09-11
15198,Toronto,ON,Canada,M6R1R8,43.648465,-79.452534,,1989-10-23
15671,Mississauga,ON,Canada,L5W1K8,43.640363,-79.72786,,1992-07-07
15862,Brampton,ON,Canada,L6X5C8,43.680493,-79.799381,,1968-02-02
16508,Mississauga,ON,Canada,L5B1A9,43.568313,-79.610838,,1985-02-14
16714,North York,ON,Canada,M4A1V7,43.737734,-79.312293,,1971-12-31
16956,Mississauga,ON,Canada,L4Y1T5,43.595607,-79.570636,,1982-12-20
18074,EAST YORK,ON,Canada,M4G3N4,43.706607,-79.369647,,1970-01-31
18189,MARKHAM,ON,Canada,L3S2A6,43.833493,-79.271518,,1986-01-17
18597,Scarborough,ON,Canada,M1B5B3,43.815927,-79.200326,,1953-08-18
18998,Mississauga,ON,Canada,L5W1M2,43.640557,-79.72625,,1964-08-10
19014,Toronto,ON,Canada,M4N1N8,43.723983,-79.392712,,1973-01-03
19419,Toronto,ON,Canada,M6P2Y9,43.657683,-79.472697,,1966-03-01
19991,MARKHAM,ON,Canada,L6E1Z9,43.899043,-79.258921,,1981-07-05
20161,Brampton,ON,Canada,L6Y5N9,43.636805,-79.756773,,1982-12-22
21411,Mississauga,ON,Canada,L5E2S6,43.596143,-79.562011,,1981-05-04
21902,Mississauga,ON,Canada,L5R1K5,43.602707,-79.65625,,1991-03-19
22438,Etobicoke,ON,Canada,M8W2C8,43.604947,-79.535072,,1975-11-03
22553,YORK,ON,Canada,M6N3Z8,43.669981,-79.487739,,1928-05-10
23841,Toronto,ON,Canada,M6R2C7,43.641585,-79.441654,,1965-01-16
23968,North York,ON,Canada,M3K1L3,43.733443,-79.471116,,1977-08-26
25564,stouffville,ON,Canada,L4A0L9,43.9581,-79.26208,,1993-06-08
26111,Mississauga,ON,Canada,L5R1J6,43.600115,-79.650768,,1976-06-19
27216,Milton,ON,Canada,L9T6G8,43.520045,-79.844049,,1934-06-26
27416,Toronto,ON,Canada,M5H2H5,43.652802,-79.3729,,1969-04-19
27505,Toronto,ON,Canada,M4W1K1,43.674414,-79.368957,,1986-10-12
28060,Toronto,ON,Canada,M6S1B6,43.641095,-79.481138,,1994-05-30
28404,Toronto,ON,Canada,M4C1V1,43.686283,-79.322356,,1977-03-11
28451,Mississauga,ON,Canada,L5A1G7,43.579404,-79.593984,,1961-11-20
28470,Mississauga,ON,Canada,L5M6W3,43.562508,-79.738218,,1988-05-03
