YEAR,WEEK,CUSTOMER_ID,STORE_ID,CATEGORY,CAT_DESC,TRANSACTIONS,QUANTITY,UNIQUE_ITEM,SALES
2011,40,1857,20001323,1,Beverages,1,4,2,22.96
2011,40,1857,20001323,6,Meals Solutions,1,2,2,19.48
2011,40,1857,20001323,20,Bakery,1,3,2,12.43
2011,40,1857,20001323,35,Breakfast Supplies,1,1,1,2.97
2011,40,1857,20001323,38,Snacks,1,4,1,11.96
2011,40,1857,20001323,64,Food Packaging,1,1,1,0.49
2011,40,1857,20001323,66,Produce,1,4,3,12.96
2011,40,4373,20001321,66,Produce,1,3,1,17.94
2011,40,4776,20001323,1,Beverages,1,2,1,6.98
2011,40,4776,20001323,6,Meals Solutions,1,1,1,2.99
2011,40,4776,20001323,7,Baking Supplies,1,3,2,17.95
2011,40,4776,20001323,20,Bakery,1,9,3,32.33
2011,40,4776,20001323,38,Snacks,1,2,1,3.96
2011,40,4776,20001323,66,Produce,1,7,5,19.39
2011,40,4776,20001323,70,Dairy,1,6,4,11.94
2011,40,6307,20004053,1,Beverages,1,11,3,36.37
2011,40,6307,20004053,20,Bakery,2,8,3,26.92
2011,40,6307,20004053,38,Snacks,1,1,1,2.98
2011,40,6307,20004053,58,Meats,1,3,2,28.95
2011,40,6307,20004053,64,Food Packaging,1,2,1,0.98
2011,40,6307,20004053,66,Produce,2,12,7,36.33
2011,40,6307,20004053,70,Dairy,1,3,1,11.91
2011,40,6307,20004053,96,Seafood,1,1,1,10.49
2011,40,7516,20001323,1,Beverages,1,1,1,6.97
2011,40,7516,20001323,6,Meals Solutions,1,1,1,0.49
2011,40,7516,20001323,20,Bakery,1,1,1,2.98
2011,40,7516,20001323,38,Snacks,1,1,1,3.49
2011,40,7516,20001323,58,Meats,1,2,1,4.98
2011,40,7516,20001323,66,Produce,3,12,6,34.84
2011,40,7516,20001323,70,Dairy,3,9,8,37.89
2011,40,10344,20001321,1,Beverages,1,3,2,14.47
2011,40,10344,20001321,20,Bakery,2,3,2,4.43
2011,40,10344,20001321,38,Snacks,1,2,2,9.97
2011,40,10344,20001321,58,Meats,1,2,1,14.98
2011,40,10344,20001321,66,Produce,2,16,8,41.78
2011,40,10344,20001321,70,Dairy,2,19,5,79.23
2011,40,19991,20001319,1,Beverages,1,3,2,2.47
2011,40,19991,20001319,6,Meals Solutions,1,3,1,5.91
2011,40,19991,20001319,7,Baking Supplies,1,2,1,8.98
2011,40,19991,20001319,38,Snacks,1,1,1,3.97
2011,40,19991,20001319,66,Produce,1,10,4,42.83
2011,40,20161,20004053,1,Beverages,1,2,2,9.48
2011,40,20161,20004053,20,Bakery,1,3,1,8.97
2011,40,20161,20004053,38,Snacks,1,1,1,4.49
2011,40,20161,20004053,64,Food Packaging,1,2,1,0.98
2011,40,20161,20004053,66,Produce,1,8,4,19.9
2011,40,20161,20004053,70,Dairy,1,3,1,20.94
2011,40,21411,20004029,1,Beverages,1,3,2,8.95
2011,40,21411,20004029,20,Bakery,1,1,1,0.49
2011,40,21411,20004029,35,Breakfast Supplies,1,1,1,2.49
2011,40,21411,20004029,38,Snacks,1,2,2,4.98
2011,40,21411,20004029,66,Produce,1,16,7,58.72
2011,40,21411,20004029,70,Dairy,1,4,2,9.96
2011,40,21902,20004029,1,Beverages,1,1,1,0.98
2011,40,21902,20004029,20,Bakery,1,2,1,7.96
2011,40,21902,20004029,43,General Merchandise,1,2,1,7.98
2011,40,21902,20004029,64,Food Packaging,1,2,1,0.98
2011,40,21902,20004029,66,Produce,1,5,1,9.95
2011,40,21902,20004029,70,Dairy,1,3,1,13.47
2011,40,21902,20004029,96,Seafood,1,1,1,9.99
2011,40,22553,20001323,1,Beverages,1,7,3,20.41
2011,40,22553,20001323,38,Snacks,1,2,1,5.96
2011,40,22553,20001323,64,Food Packaging,1,1,1,0.98
2011,40,22553,20001323,66,Produce,1,6,2,11.94
2011,40,22553,20001323,70,Dairy,1,4,1,15.88
2011,40,28451,20004029,20,Bakery,1,3,2,6.96
2011,40,28451,20004029,38,Snacks,1,4,2,9.46
2011,40,28451,20004029,64,Food Packaging,1,2,1,0.98
2011,40,28451,20004029,66,Produce,2,10,6,21.4
2011,40,28451,20004029,70,Dairy,1,5,2,20.41
2011,40,29113,20001319,70,Dairy,1,3,2,11.47
2011,40,34310,20001323,1,Beverages,1,1,1,2.98
2011,40,34310,20001323,58,Meats,1,2,1,16.98
2011,40,34310,20001323,66,Produce,2,5,3,10.43
2011,40,34310,20001323,70,Dairy,1,5,2,16.41
2011,40,36270,20001321,6,Meals Solutions,1,3,1,2.91
2011,40,36270,20001321,58,Meats,1,2,1,21.94
2011,40,38813,20004053,1,Beverages,1,3,1,17.97
2011,40,38813,20004053,6,Meals Solutions,1,1,1,1.49
2011,40,38813,20004053,7,Baking Supplies,1,7,3,14.43
2011,40,38813,20004053,35,Breakfast Supplies,1,2,1,10.98
2011,40,38813,20004053,38,Snacks,1,1,1,1.99
2011,40,38813,20004053,48,Over the Counter,1,6,2,35.44
2011,40,38813,20004053,64,Food Packaging,1,2,1,1.96
2011,40,38813,20004053,66,Produce,1,6,4,7.94
2011,40,38813,20004053,70,Dairy,1,4,3,16.44
2011,40,40980,20001321,20,Bakery,1,1,1,4.97
2011,40,40980,20001321,66,Produce,1,8,4,22.88
2011,40,40980,20001321,70,Dairy,1,1,1,6.49
2011,40,44353,20001321,6,Meals Solutions,1,1,1,6.97
2011,40,44353,20001321,20,Bakery,1,1,1,2.99
2011,40,44353,20001321,38,Snacks,1,2,1,1.98
2011,40,44353,20001321,66,Produce,1,10,7,34.34
2011,40,44353,20001321,70,Dairy,1,6,2,31.9
2011,40,48932,20001323,20,Bakery,1,1,1,0.49
2011,40,48932,20001323,38,Snacks,1,1,1,2.99
2011,40,48932,20001323,66,Produce,1,4,3,5.45
2011,40,50117,20001319,1,Beverages,1,2,1,7.98
2011,40,50117,20001319,58,Meats,1,1,1,10.49
2011,40,50117,20001319,66,Produce,1,6,2,23.42
2011,40,50653,20004029,66,Produce,1,3,1,4.47
2011,40,54982,20001321,58,Meats,1,2,1,7.98
2011,40,54982,20001321,66,Produce,1,18,5,31.66
2011,40,54982,20001321,70,Dairy,1,7,4,29.35
2011,40,55684,20001321,1,Beverages,1,1,1,2.99
2011,40,55684,20001321,6,Meals Solutions,1,3,2,1.47
2011,40,55684,20001321,20,Bakery,1,1,1,4.98
2011,40,55684,20001321,35,Breakfast Supplies,1,2,1,8.98
2011,40,55684,20001321,66,Produce,1,6,4,25.93
2011,40,55684,20001321,70,Dairy,1,4,3,16.94
2011,40,58460,20004029,7,Baking Supplies,1,5,2,9.45
2011,40,58460,20004029,35,Breakfast Supplies,1,2,1,10.98
2011,40,58460,20004029,38,Snacks,1,1,1,5.97
2011,40,58460,20004029,66,Produce,1,3,1,5.94
2011,40,58460,20004029,70,Dairy,1,1,1,3.99
2011,40,59450,20004029,1,Beverages,1,1,1,1.98
2011,40,59450,20004029,20,Bakery,2,7,3,11.87
2011,40,59450,20004029,35,Breakfast Supplies,1,2,1,4.98
2011,40,59450,20004029,38,Snacks,2,9,4,31.86
2011,40,59450,20004029,43,General Merchandise,1,3,1,16.47
2011,40,59450,20004029,66,Produce,2,19,13,46.76
2011,40,59450,20004029,70,Dairy,2,10,5,51.9
2011,40,61485,20001323,7,Baking Supplies,1,1,1,2.49
2011,40,61485,20001323,20,Bakery,1,1,1,0.49
2011,40,61485,20001323,38,Snacks,1,4,3,10.88
2011,40,61485,20001323,66,Produce,1,7,3,23.43
2011,40,61485,20001323,70,Dairy,1,1,1,2.49
2011,40,62741,20001321,20,Bakery,2,6,2,11.91
2011,40,62741,20001321,66,Produce,1,2,1,4.98
2011,40,62741,20001321,70,Dairy,2,12,3,33.35
2011,40,64855,20004029,38,Snacks,1,1,1,3.49
2011,40,64855,20004029,66,Produce,1,3,2,3.47
2011,40,69083,20004053,66,Produce,1,3,1,4.47
2011,40,69083,20004053,70,Dairy,1,4,1,15.88
2011,40,74809,20001321,66,Produce,1,3,1,14.91
2011,40,79462,20001319,1,Beverages,1,6,3,20.94
2011,40,79462,20001319,6,Meals Solutions,1,3,1,13.47
2011,40,79462,20001319,38,Snacks,2,9,5,35.89
2011,40,79462,20001319,43,General Merchandise,1,1,1,2.49
2011,40,79462,20001319,66,Produce,2,30,9,70.94
2011,40,79462,20001319,70,Dairy,2,13,6,40.35
2011,40,81145,20001321,20,Bakery,1,1,1,1.98
2011,40,81145,20001321,35,Breakfast Supplies,1,4,1,19.88
2011,40,81145,20001321,38,Snacks,1,1,1,5.98
2011,40,81145,20001321,64,Food Packaging,1,1,1,0.98
2011,40,81145,20001321,66,Produce,1,6,3,15.34
2011,40,81145,20001321,70,Dairy,1,4,2,14.94
2011,40,83595,20004029,1,Beverages,1,3,2,8.97
2011,40,83595,20004029,20,Bakery,1,1,1,3.49
2011,40,83595,20004029,38,Snacks,1,5,1,9.95
2011,40,83595,20004029,64,Food Packaging,1,1,1,0.49
2011,40,83595,20004029,66,Produce,1,16,6,31.84
2011,40,83595,20004029,70,Dairy,1,3,2,15.95
2011,40,83629,20004029,20,Bakery,1,5,3,10.9
2011,40,83629,20004029,35,Breakfast Supplies,1,1,1,7.97
2011,40,83629,20004029,64,Food Packaging,1,1,1,0.49
2011,40,83629,20004029,66,Produce,1,19,8,54.1
2011,40,83629,20004029,70,Dairy,1,5,2,23.45
2011,40,84578,20001323,6,Meals Solutions,1,3,2,12.95
2011,40,84578,20001323,66,Produce,1,1,1,2.97
2011,40,85137,20001321,1,Beverages,1,2,1,11.94
2011,40,85137,20001321,20,Bakery,1,3,2,4.97
2011,40,85137,20001321,35,Breakfast Supplies,1,1,1,3.97
2011,40,85137,20001321,58,Meats,1,1,1,6.49
2011,40,85137,20001321,64,Food Packaging,1,1,1,0.98
2011,40,85137,20001321,66,Produce,1,10,6,26.36
2011,40,85137,20001321,70,Dairy,1,3,2,9.94
2011,40,85412,20001323,6,Meals Solutions,1,7,1,13.86
2011,40,85412,20001323,38,Snacks,1,4,1,5.96
2011,40,85412,20001323,64,Food Packaging,1,3,1,1.47
2011,40,85412,20001323,66,Produce,1,2,1,3.94
2011,40,88860,20001321,1,Beverages,1,2,1,17.96
2011,40,88860,20001321,6,Meals Solutions,1,1,1,5.97
2011,40,88860,20001321,38,Snacks,1,3,2,5.97
